Les droits de troisième génération peuvent-ils tous être utilisés devant un tribunal actuellement?,"Non, ils ne peuvent pas encore tous être utilisés devant un tribunal","Oui, tous sans exception","Oui, mais seulement au tribunal de commerce","Jamais, car ils ne sont pas légaux",a,Ils ne peuvent pas encore tous être utilisés devant un tribunal.,fr,Droits de 3ème génération,Naturalisation
Comment les droits de troisième génération sont-ils intégrés dans la loi française?,Instantanément par décret,Ils ne sont pas intégrés,Ils remplacent la Constitution,Progressivement,d,Ils sont apparus plus récemment et sont progressivement intégrés dans les textes de loi.,fr,Droits de 3ème génération,CSP
Le droit de posséder une maison et de créer une entreprise relève du droit de :,Solidarité,Propriété,Grève,Sûreté,b,Le droit de propriété fonde la liberté de disposer de ses biens et d'entreprendre.,fr,Droits liés à la personne,CR
L'accès gratuit à l'école primaire publique est garanti par :,Le droit à la gratuité de l'enseignement public,Le droit de propriété,Le droit de troisième génération,Le droit à la santé,a,L'organisation de l'enseignement public gratuit est un devoir de l'État.,fr,Droits économiques et sociaux,Naturalisation
Le droit d'avoir un avocat lors d'un procès découle du droit à :,La sûreté,L'assistance humanitaire,La liberté de culte,L'égalité devant l'impôt,a,"Le droit à la sûreté suppose le respect des droits de la défense (avocat, présomption d'innocence).",fr,Droits liés à la personne,CSP
Les femmes et les hommes doivent recevoir un traitement égal selon le principe de :,L'accès à la culture,L'égalité des sexes,La résistance à l'oppression,La liberté d'expression,b,C'est l'égalité des sexes (pas de discrimination fondée sur le sexe ou le genre).,fr,Droits liés à la personne,CR
Les 'droits de' quelqu'un sont des droits inhérents car la personne :,Est un citoyen méritant,Est née de parents français,A payé une taxe,Est un être humain,d,Ce sont des droits que chaque individu possède simplement parce qu'il est un être humain.,fr,Droits liés à la personne,Naturalisation
Un hôpital public permettant aux citoyens de se soigner est une application du droit à :,L'assistance humanitaire internationale,La sûreté,La protection de la santé,L'enseignement,c,"Cela relève de la protection de la santé, qui est un droit économique et social.",fr,Droits économiques et sociaux,CSP
La présomption d'innocence permet d'éviter :,De considérer une personne comme coupable avant son jugement,D'aller travailler,De payer des impôts,D'avoir un procès équitable,a,La personne est innocente tant que sa culpabilité n'est pas prouvée.,fr,Droits liés à la personne,CR
Quel texte est cité pour le droit à un environnement équilibré?,Le Préambule de 1789,La Constitution de 1958,La Charte de l'environnement de 2004,L'article 5 de 1946,c,C'est l'article 1 de la Charte de l'environnement de 2004.,fr,Droits de 3ème génération,Naturalisation
Le droit au silence appartient à quelle catégorie de droits spécifiques?,Les droits de l'environnement,Les droits économiques,Les droits de la défense,Les droits politiques,c,Il fait partie des droits de la défense (lié à la sûreté).,fr,Droits liés à la personne,CSP
L'État doit fournir des efforts pour construire des écoles et des hôpitaux. Cela prouve que les droits économiques et sociaux :,Ne concernent que les jeunes,Ont besoin de l'intervention de l'État,Sont inaltérables à la naissance,Sont naturels,b,Ils ont besoin de l'intervention de l'État pour être assurés et protégés.,fr,Droits économiques et sociaux,CR
Le fait que chaque citoyen puisse participer à l'élection de ses représentants est appelé :,La liberté de culte,Le droit d'entreprendre,Le suffrage universel,La présomption d'innocence,c,Le suffrage universel est le droit de vote pour chaque citoyen.,fr,Droits liés à la personne,Naturalisation
La résistance à l'oppression fait partie de la liste des :,Droits de 3ème génération,Droits individuels fondamentaux,Droits pour l'environnement,Droits économiques,b,C'est l'un des droits fondamentaux liés à la personne humaine.,fr,Droits liés à la personne,CSP
Les discriminations lors d'un recrutement basées sur les origines sont interdites par :,Le droit de propriété,Le droit à la santé,Le droit à l'emploi,L'assistance humanitaire,c,Nul ne peut être lésé dans son emploi en raison de ses origines.,fr,Droits économiques et sociaux,CR
L'accès à la sécurité sociale est un moyen de garantir des conditions de vie dignes. C'est un droit :,De 3ème génération,Économique et social,Lié à la propriété,Individuel de la naissance,b,La sécurité sociale fait partie des ressources essentielles des droits économiques et sociaux.,fr,Droits économiques et sociaux,Naturalisation
"Lorsqu'un pays envoie des équipes médicales pour soigner les blessés civils d'une guerre dans un autre pays, il exerce :",Le droit au développement,L'assistance humanitaire,Le droit de culte,La résistance à l'oppression,b,"C'est une intervention pour aider des Hommes, un exemple d'assistance humanitaire.",fr,Droits de 3ème génération,CSP
"Pour l'égalité devant la loi, on dit que la loi doit traiter tout être humain :",De la même façon,Selon ses croyances,Selon sa nationalité,Selon son revenu,a,Tout être humain doit être traité de la même façon par la loi.,fr,Droits liés à la personne,CR
Cesser son activité professionnelle pour contester une décision de son employeur est protégé par :,La présomption d'innocence,Le droit de grève,Le suffrage universel,La liberté de culte,b,Le droit de grève permet à l'employé de cesser le travail pour exprimer un désaccord.,fr,Droits liés à la personne,Naturalisation
"Quel principe englobe la liberté d'expression, la liberté de culte et le droit de grève?",Le principe de sûreté,Le principe de liberté,Le principe d'égalité,Le principe de propriété,b,Ces droits découlent tous du principe de liberté.,fr,Droits liés à la personne,CSP
La Constitution garantit le repos et les loisirs comme éléments du droit :,À la paix,À la sûreté,À la protection de la santé,À l'instruction,c,C'est cité dans le cadre du droit à la protection de la santé (art 11 de 1946).,fr,Droits économiques et sociaux,CR
Garantir l'instruction de l'adulte est cité dans le même article que l'instruction :,Du prisonnier,De la mère,De l'enfant,Du vieux travailleur,c,La Nation garantit l'égal accès de l'enfant et de l'adulte à l'instruction.,fr,Droits économiques et sociaux,Naturalisation
Les droits de troisième génération visent à protéger des ressources pour qui en particulier?,Uniquement les Européens,Les personnes fortunées,Les entreprises,Les générations futures,d,Le but est de garantir une vie décente aux futures générations.,fr,Droits de 3ème génération,CSP
Quel mot définit le fait que les libertés fondamentales ne peuvent être supprimées?,Modernes,Collectives,Inaltérables,Obligatoires,c,"Elles sont inaltérables, c'est-à-dire non modifiables.",fr,Droits liés à la personne,CR
L'égalité s'applique aussi devant le paiement de :,La grève,L'impôt,La paix,La solidarité,b,"L'égalité se décline devant la loi, l'impôt, la justice",fr,Droits liés à la personne,Naturalisation
S'exprimer librement dans un journal relève de :,La liberté d'expression,La liberté de culte,La sûreté,L'égalité devant la loi,a,C'est la liberté de dire ce que l'on pense.,fr,Droits liés à la personne,CSP
Avoir accès à la culture est garanti par l'enseignement public et par le principe de :,Sûreté,Santé,Propriété,Égalité,d,L'égalité devant l'accès à la culture.,fr,Droits liés à la personne,CR
La solidarité collective est le fondement de quels droits?,Les droits de la défense,Les droits individuels,Les droits économiques,Les droits de troisième génération,d,Les droits de 3ème génération sont avant tout fondés sur la solidarité collective.,fr,Droits de 3ème génération,Naturalisation
Lequel de ces droits garantit la protection contre une arrestation sans motif légal?,Le droit de travailler,Le droit à la paix,La protection de la liberté individuelle,L'accès à l'instruction,c,La protection de la liberté individuelle fait partie du droit à la sûreté.,fr,Droits liés à la personne,CSP
Quels enjeux sont pris en compte par les droits de 3ème génération?,Aucun enjeu,Des enjeux strictement nationaux,Des enjeux locaux,Des enjeux internationaux,d,Ils prennent en compte des enjeux internationaux.,fr,Droits de 3ème génération,CR
Le droit à la paix est qualifié de :,Droit naturel dès la naissance,Droit pour la planète (3ème génération),Droit économique,Droit inaltérable,b,C'est un droit de 3ème génération ('droit pour' la paix).,fr,Droits de 3ème génération,Naturalisation
L'article 13 du Préambule de 1946 concerne :,L'enseignement public,L'emploi,La paix mondiale,La santé,a,Il concerne le droit à la gratuité de l'enseignement public.,fr,Droits économiques et sociaux,CSP
"Les droits individuels, civiques et politiques sont considérés comme :",Des droits sociaux,Des droits de la défense,Des droits de 3ème génération,Des droits liés à la personne humaine,d,Ce sont les caractéristiques des droits liés à la personne humaine.,fr,Droits liés à la personne,CR
Pour quel type d'enseignement l'État n'a-t-il pas de devoir d'organisation de gratuité?,L'enseignement privé (non mentionné),L'enseignement laïque,L'instruction professionnelle,L'enseignement public,a,Il s'agit de l'organisation de l'enseignement public gratuit.,fr,Droits économiques et sociaux,Naturalisation
"Nul ne peut être lésé dans son travail en raison de ses opinions, conformément au droit :",De la défense,À la sûreté,De grève,À l'emploi,d,C'est écrit dans la partie sur le droit à l'emploi.,fr,Droits économiques et sociaux,CSP
L'intervention dans un État pour apporter des soins est justifiée par la notion de :,Liberté d'expression,Suffrage universel,Assistance humanitaire,Propriété intellectuelle,c,Cela relève de l'assistance humanitaire.,fr,Droits de 3ème génération,CR
Que signifie 'laïque' dans le contexte de l'enseignement public?,Qu'il est obligatoire,Qu'il est gratuit,Qu'il est réservé aux adultes,Qu'il est indépendant de toute religion,d,"(Bien que non explicitement défini dans ce paragraphe strict, c'est le sens propre de l'article cité, option de compréhension) Qu'il est indépendant de la religion.",fr,Droits économiques et sociaux,Naturalisation
Les conditions de vie dignes sont le but principal des :,Droits de troisième génération,Droits économiques et sociaux,Droits de la défense,Droits liés à la personne,b,C'est la définition même des droits économiques et sociaux.,fr,Droits économiques et sociaux,CSP
Les droits qui sont apparus le plus récemment et s'intègrent progressivement sont :,Les droits de propriété,Les droits à l'instruction,Les droits liés à la naissance,Les droits de troisième génération,d,Ces droits sont apparus plus récemment et sont progressivement intégrés.,fr,Droits de 3ème génération,CR
